ticker,name,market,fund_type,is_leveraged_inverse,issuer,tracked_index,inception_date,listing_date,data_start_date,category_raw,twse_levinv_flag,units_issued,full_name,en_name,source
00400A,主動國泰動能高息,TWSE,active_equity,False,李偉正,不適用,2026-03-30,2026-04-09,2026-03-30,國內成分證券主動式交易所交易基金(股票),否,1528640000,國泰台股動能高息主動式ETF證券投資信託基金,Cathay High Dividend Momentum Active ETF,twse_opendata
00401A,主動摩根台灣鑫收,TWSE,active_equity,False,唐德瑜,不適用,2026-03-31,2026-04-10,2026-03-31,國內成分證券主動式交易所交易基金(股票),否,252395000,摩根台灣鑫收益主動式ETF證券投資信託基金,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,twse_opendata
00403A,主動統一升級50,TWSE,active_equity,False,鄧潤澤,不適用,2026-04-28,2026-05-12,2026-04-28,國內成分證券主動式交易所交易基金(股票),否,18314519000,統一台股升級50主動式ETF證券投資信託基金,UPAMC Taiwan Elite 50 Active ETF,twse_opendata
0050,元大台灣50,TWSE,passive_equity,False,劉宗聖,臺灣50指數,2003-06-25,2003-06-30,2024-01-01,國內成分證券指數股票型基金,否,18842500000,元大台灣卓越50證券投資信託基金,Yuanta/P-shares Taiwan Top 50 ETF,twse_opendata
0051,元大中型100,TWSE,passive_equity,False,劉宗聖,臺灣中型100指數,2006-08-24,2006-08-31,2024-01-01,國內成分證券指數股票型基金,否,24500000,元大台灣中型100證券投資信託基金,Yuanta/P-shares Taiwan Mid-Cap 100 ETF,twse_opendata
0052,富邦科技,TWSE,passive_equity,False,黃昭棠,臺灣資訊科技指數,2006-08-28,2006-09-12,2024-01-01,國內成分證券指數股票型基金,否,2506000000,富邦台灣科技指數證券投資信託基金,Fubon Taiwan Technology Tracker Fund,twse_opendata
0053,元大電子,TWSE,passive_equity,False,劉宗聖,電子類加權股價指數,2007-07-04,2007-07-16,2024-01-01,國內成分證券指數股票型基金,否,4988000,元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金,Yuanta/P-shares Taiwan Electronics Tech ETF,twse_opendata
0054,元大台商50,TWSE,passive_equity,False,劉宗聖,S&amp;P台商收成指數,2007-07-04,2007-07-16,2024-01-01,國內成分證券指數股票型基金,否,4124000,元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金,Yuanta/P-shares S&amp;P Custom China Play 50 ETF,twse_opendata
0055,元大MSCI金融,TWSE,passive_equity,False,劉宗聖,MSCI台灣金融指數,2007-07-04,2007-07-16,2024-01-01,國內成分證券指數股票型基金,否,81154000,元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金,Yuanta/P-shares MSCI Taiwan Financials ETF,twse_opendata
0056,元大高股息,TWSE,passive_equity,False,劉宗聖,臺灣高股息指數,2007-12-13,2007-12-26,2024-01-01,國內成分證券指數股票型基金,否,13724034000,元大台灣高股息證券投資信託基金,Yuanta/P-shares Taiwan Dividend Plus ETF,twse_opendata
