股名,日期,成交股數,淨收付金額,買賣別,成交價,成本,手續費,交易稅,融資金額/券擔保品,資自備款/券保證金,利息,稅款,券手續費/標借費,委託書號,_key
仁寶,2025-11-26,7000,-205531.0,現買,29.35,205450.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,A5223,仁寶|2025-11-26|現買|7000|-205531.00|29.3500|205450.00|81.00|0.00|0.00|0.00|0.00|A5223
微星,2025-11-26,2000,-212084.0,現買,106.0,212000.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,A5321,微星|2025-11-26|現買|2000|-212084.00|106.0000|212000.00|84.00|0.00|0.00|0.00|0.00|A5321
微星,2025-12-01,4000,-414165.0,現買,103.5,414000.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,A5197,微星|2025-12-01|現買|4000|-414165.00|103.5000|414000.00|165.00|0.00|0.00|0.00|0.00|A5197
鴻海,2025-12-01,1000,-223589.0,現買,223.5,223500.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,A5496,鴻海|2025-12-01|現買|1000|-223589.00|223.5000|223500.00|89.00|0.00|0.00|0.00|0.00|A5496
鴻海,2025-12-01,2000,-447178.0,現買,223.5,447000.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,A5443,鴻海|2025-12-01|現買|2000|-447178.00|223.5000|447000.00|178.00|0.00|0.00|0.00|0.00|A5443
鴻海,2025-12-16,3000,-657262.0,現買,219.0,657000.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,a3577,鴻海|2025-12-16|現買|3000|-657262.00|219.0000|657000.00|262.00|0.00|0.00|0.00|0.00|a3577
仁寶,2025-12-18,7000,207543.0,現賣,29.75,208250.0,83.0,624.0,0.0,0.0,0.0,0.0,0.0,a4625,仁寶|2025-12-18|現賣|7000|207543.00|29.7500|208250.00|83.00|624.00|0.00|0.00|0.00|a4625
微星,2025-12-19,6000,600951.0,現賣,100.5,603000.0,240.0,1809.0,0.0,0.0,0.0,0.0,0.0,a5489,微星|2025-12-19|現賣|6000|600951.00|100.5000|603000.00|240.00|1809.00|0.00|0.00|0.00|a5489
欣興,2025-12-19,4000,-858342.0,現買,214.5,858000.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,a7104,欣興|2025-12-19|現買|4000|-858342.00|214.5000|858000.00|342.00|0.00|0.00|0.00|0.00|a7104
尖點,2025-12-23,5000,-832832.0,現買,166.5,832500.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,a8106,尖點|2025-12-23|現買|5000|-832832.00|166.5000|832500.00|332.00|0.00|0.00|0.00|0.00|a8106
尖點,2025-12-23,8000,-1344536.0,現買,168.0,1344000.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,a7766,尖點|2025-12-23|現買|8000|-1344536.00|168.0000|1344000.00|536.00|0.00|0.00|0.00|0.00|a7766
欣興,2025-12-23,4000,865050.0,現賣,217.0,868000.0,346.0,2604.0,0.0,0.0,0.0,0.0,0.0,a4957,欣興|2025-12-23|現賣|4000|865050.00|217.0000|868000.00|346.00|2604.00|0.00|0.00|0.00|a4957
鴻海,2025-12-23,6000,1345412.0,現賣,225.0,1350000.0,538.0,4050.0,0.0,0.0,0.0,0.0,0.0,a4557,鴻海|2025-12-23|現賣|6000|1345412.00|225.0000|1350000.00|538.00|4050.00|0.00|0.00|0.00|a4557
尖點,2025-12-24,13000,2221923.0,現賣,171.5,2229500.0,889.0,6688.0,0.0,0.0,0.0,0.0,0.0,a2671,尖點|2025-12-24|現賣|13000|2221923.00|171.5000|2229500.00|889.00|6688.00|0.00|0.00|0.00|a2671
力成,2025-12-26,9000,-1526108.0,沖買,169.5,1525500.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,a0794,力成|2025-12-26|沖買|9000|-1526108.00|169.5000|1525500.00|608.00|0.00|0.00|0.00|0.00|a0794
力成,2025-12-26,9000,1580992.0,沖賣,176.0,1584000.0,632.0,2376.0,0.0,0.0,0.0,0.0,0.0,a5840,力成|2025-12-26|沖賣|9000|1580992.00|176.0000|1584000.00|632.00|2376.00|0.00|0.00|0.00|a5840
欣銓,2025-12-26,10000,-965385.0,沖買,96.5,965000.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,a0907,欣銓|2025-12-26|沖買|10000|-965385.00|96.5000|965000.00|385.00|0.00|0.00|0.00|0.00|a0907
欣銓,2025-12-26,10000,1018064.0,沖賣,102.0,1020000.0,406.0,1530.0,0.0,0.0,0.0,0.0,0.0,a3398,欣銓|2025-12-26|沖賣|10000|1018064.00|102.0000|1020000.00|406.00|1530.00|0.00|0.00|0.00|a3398
矽格,2025-12-30,20000,-2240893.0,沖買,112.0,2240000.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,a1088,矽格|2025-12-30|沖買|20000|-2240893.00|112.0000|2240000.00|893.00|0.00|0.00|0.00|0.00|a1088
矽格,2025-12-30,20000,2285652.0,沖賣,114.5,2290000.0,913.0,3435.0,0.0,0.0,0.0,0.0,0.0,a4754,矽格|2025-12-30|沖賣|20000|2285652.00|114.5000|2290000.00|913.00|3435.00|0.00|0.00|0.00|a4754
華邦電,2025-12-30,30000,-2424967.0,沖買,80.8,2424000.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,a4940,華邦電|2025-12-30|沖買|30000|-2424967.00|80.8000|2424000.00|967.00|0.00|0.00|0.00|0.00|a4940
華邦電,2025-12-30,30000,2449340.0,沖賣,81.8,2454000.0,979.0,3681.0,0.0,0.0,0.0,0.0,0.0,a5855,華邦電|2025-12-30|沖賣|30000|2449340.00|81.8000|2454000.00|979.00|3681.00|0.00|0.00|0.00|a5855
矽格,2025-12-31,1000,-120548.0,現買,120.5,120500.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,a2472,矽格|2025-12-31|現買|1000|-120548.00|120.5000|120500.00|48.00|0.00|0.00|0.00|0.00|a2472
矽格,2025-12-31,1000,-118547.0,沖買,118.5,118500.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,a1541,矽格|2025-12-31|沖買|1000|-118547.00|118.5000|118500.00|47.00|0.00|0.00|0.00|0.00|a1541
矽格,2025-12-31,4000,-482192.0,沖買,120.5,482000.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,a2472,矽格|2025-12-31|沖買|4000|-482192.00|120.5000|482000.00|192.00|0.00|0.00|0.00|0.00|a2472
