date,0050,00981A,00988A,00990A,00991A,00992A
2026-04-08,,,,,,
2026-04-09,41.6,61.4,49.0,44.3,45.6,58.0
2026-04-10,41.6,61.4,49.0,46.3,43.0,58.7
2026-04-13,41.6,61.1,49.0,46.3,43.0,59.0
2026-04-14,41.6,59.4,53.0,46.6,42.6,56.7
2026-04-15,41.6,63.4,49.0,46.3,43.0,56.7
2026-04-16,41.6,63.4,48.7,46.3,43.3,56.7
2026-04-17,41.6,63.4,48.7,46.3,44.0,56.0
2026-04-20,41.6,61.4,48.7,42.3,48.0,58.0
2026-04-21,41.6,63.4,47.7,43.0,49.0,55.4
2026-04-22,41.6,63.4,46.6,43.0,50.0,55.4
2026-04-23,41.6,63.4,49.0,43.0,47.7,55.4
2026-04-24,41.6,63.7,44.6,43.0,51.3,55.7
2026-04-27,41.6,63.7,44.6,43.0,51.3,55.7
2026-04-28,41.6,63.4,44.6,43.0,51.3,56.0
2026-04-29,41.6,63.4,44.3,43.0,51.7,56.0
2026-04-30,41.6,63.4,44.3,43.0,51.7,56.0
2026-05-04,41.6,63.7,44.6,43.0,51.3,55.7
2026-05-05,41.6,63.7,44.6,43.0,51.3,55.7
2026-05-06,41.6,63.7,51.0,43.0,47.0,53.7
2026-05-07,41.6,63.7,51.0,43.0,47.0,53.7
2026-05-08,41.6,63.7,51.0,42.3,47.0,54.4
2026-05-11,41.6,63.7,48.0,43.0,48.0,55.7
2026-05-12,41.6,61.7,54.0,43.0,47.0,52.7
2026-05-13,41.6,61.7,55.0,44.0,46.0,51.7
2026-05-14,41.6,61.7,55.0,43.0,50.0,48.7
2026-05-15,41.6,61.7,55.0,48.0,48.0,45.6
2026-05-18,41.6,61.7,54.7,45.0,50.3,46.6
2026-05-19,41.6,61.7,54.7,41.0,51.0,50.0
2026-05-20,41.6,61.7,55.0,41.0,50.7,50.0
2026-05-21,41.6,61.7,55.0,43.0,50.7,48.0
2026-05-22,41.6,61.7,55.0,44.0,49.7,48.0
2026-05-25,41.6,61.7,55.0,48.0,47.7,46.0
2026-05-26,41.6,61.7,54.7,44.0,50.0,48.0
2026-05-27,41.6,61.7,54.4,48.0,49.3,45.0
2026-05-28,41.6,61.7,54.4,48.0,49.3,45.0
2026-05-29,41.6,61.7,54.4,49.0,48.7,44.6
2026-06-01,41.6,61.7,54.4,48.0,50.0,44.3
2026-06-02,42.6,59.7,54.4,51.0,49.0,43.3
2026-06-03,42.6,58.7,55.4,51.0,48.7,43.6
2026-06-04,42.6,59.7,54.4,51.0,48.7,43.6
2026-06-05,41.6,59.7,54.4,51.0,48.7,44.6
2026-06-08,41.6,59.7,54.4,50.0,49.7,44.6
2026-06-09,41.6,59.7,54.4,50.0,49.7,44.6
2026-06-10,41.6,59.7,54.4,50.0,49.7,44.6
2026-06-11,41.6,57.7,54.4,49.0,52.7,44.6
2026-06-12,41.6,59.7,54.4,50.0,49.7,44.6
2026-06-15,41.6,59.7,54.7,51.0,49.0,44.0
