根據您篩選的結果，總計有78筆資料，當前資料為1-78筆，看更多請至國泰證券app查詢
股名,日期,成交股數,淨收付金額,買賣別,成交價,成本,手續費,交易稅,融資金額/券擔保品,資自備款/券保證金,利息,稅款,券手續費/標借費,委託書號
聯電,2026/01/22,"9,000","635,035",現賣,70.8,"637,200",254,"1,911",0,0,0,0,0,a2922
台達電,2026/01/22,"1,000","1,240,769",現賣,1245,"1,245,000",496,"3,735",0,0,0,0,0,aD095
英業達,2026/01/22,"20,000","-982,391",現買,49.1,"982,000",391,0,0,0,0,0,0,a6443
群創,2026/01/22,"20,000","-565,225",沖買,28.25,"565,000",225,0,0,0,0,0,0,a4558
群創,2026/01/22,"20,000","-556,221",沖買,27.8,"556,000",221,0,0,0,0,0,0,a5481
群創,2026/01/22,"20,000","-564,225",沖買,28.2,"564,000",225,0,0,0,0,0,0,a6115
群創,2026/01/22,"20,000","-562,224",沖買,28.1,"562,000",224,0,0,0,0,0,0,a7223
群創,2026/01/22,"80,000","2,203,808",沖賣,27.6,"2,208,000",880,"3,312",0,0,0,0,0,a9761
聯電,2026/01/21,"9,000","-623,048",現買,69.2,"622,800",248,0,0,0,0,0,0,aD328
台達電,2026/01/21,"1,000","-1,175,468",現買,1175,"1,175,000",468,0,0,0,0,0,0,a6516
台達電,2026/01/21,365,"-427,220",現買,1170,"427,050",170,0,0,0,0,0,0,r00fu
漢磊,2026/01/21,"5,000","-330,131",沖買,66,"330,000",131,0,0,0,0,0,0,aC362
漢磊,2026/01/21,"5,000","-330,631",沖買,66.1,"330,500",131,0,0,0,0,0,0,aC513
漢磊,2026/01/21,"5,000","-329,131",沖買,65.8,"329,000",131,0,0,0,0,0,0,aC542
漢磊,2026/01/21,"5,000","-325,129",沖買,65,"325,000",129,0,0,0,0,0,0,aC584
漢磊,2026/01/21,"20,000","1,335,460",沖賣,66.9,"1,338,000",533,"2,007",0,0,0,0,0,aC861
台燿,2026/01/21,"3,000","1,437,266",沖賣,480,"1,440,000",574,"2,160",0,0,0,0,0,a6324
台燿,2026/01/21,"1,000","481,858",現賣,483.5,"483,500",192,"1,450",0,0,0,0,0,a7233
台燿,2026/01/21,"1,000","-476,690",沖買,476.5,"476,500",190,0,0,0,0,0,0,a9238
