core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A4_xconservative,R4_xconservative,5,60,25.6579,6.2593,0.435473,0.549030,-24.7545,61,16,27,1256579.28
0.60,A4_xconservative,R4_xconservative,5,60,23.9739,5.8789,0.425159,0.534739,-23.6306,61,16,27,1239738.98
0.70,A4_xconservative,R4_xconservative,7,60,24.5497,6.0094,0.419651,0.528161,-24.6785,57,16,24,1245497.15
0.70,A3_conservative,R4_xconservative,7,60,24.4615,5.9894,0.418821,0.525911,-24.8176,60,19,24,1244615.13
0.70,A3_conservative,R4_xconservative,5,60,24.2171,5.9340,0.414325,0.519938,-24.8663,64,19,27,1242171.07
0.50,A4_xconservative,R4_xconservative,5,60,22.2508,5.4857,0.411665,0.515230,-22.5126,61,16,27,1222507.72
0.70,A2_standard,R4_xconservative,7,60,24.2955,5.9518,0.401332,0.501587,-26.2109,61,21,24,1242954.63
0.60,A3_conservative,R4_xconservative,5,60,22.1100,5.4534,0.395881,0.494837,-23.7817,64,19,27,1221100.20
0.70,A5_narrow,R4_xconservative,5,60,23.9711,5.8782,0.395411,0.493750,-26.1522,62,18,27,1239710.76
0.40,A4_xconservative,R4_xconservative,5,60,20.4912,5.0799,0.394314,0.491936,-21.3762,61,16,27,1204912.35
0.70,A1_aggressive,R4_xconservative,7,60,23.9119,5.8648,0.392716,0.493097,-26.7109,62,23,24,1239118.97
0.60,A3_conservative,R4_xconservative,7,60,21.7820,5.3780,0.392021,0.489751,-23.7158,60,19,24,1217819.80
0.60,A4_xconservative,R4_xconservative,7,60,21.8232,5.3875,0.391891,0.490874,-23.5277,57,16,24,1218232.29
0.70,A6_wide,R4_xconservative,7,60,23.3028,5.7262,0.384182,0.482049,-26.6725,63,25,24,1233027.73
0.70,A5_narrow,R4_xconservative,7,60,22.7960,5.6105,0.379332,0.473036,-26.0987,58,18,24,1227960.00
0.70,A6_wide,R4_xconservative,5,60,23.0098,5.6594,0.379174,0.473729,-26.8940,72,26,27,1230097.65
0.70,A2_standard,R4_xconservative,5,60,22.8871,5.6314,0.378980,0.472020,-26.8940,66,21,27,1228871.39
