core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A4_xconservative,R4_xconservative,5,90,8.4335,2.1756,0.157133,0.197605,-26.6873,21,6,15,1084335.32
0.70,A5_narrow,R4_xconservative,5,90,8.4991,2.1920,0.156730,0.197743,-28.9619,24,9,15,1084991.04
0.70,A3_conservative,R4_xconservative,5,90,8.4147,2.1709,0.156542,0.197630,-26.6311,25,10,15,1084146.50
0.70,A5_narrow,R3_conservative,5,90,7.8702,2.0342,0.145809,0.182300,-28.9619,26,9,17,1078701.95
0.60,A5_narrow,R4_xconservative,5,90,7.8494,2.0290,0.145595,0.184979,-28.9619,24,9,15,1078493.67
0.70,A1_aggressive,R4_xconservative,5,90,7.8580,2.0312,0.145243,0.185796,-28.9619,26,11,15,1078580.47
0.70,A4_xconservative,R3_conservative,5,90,7.7696,2.0090,0.144914,0.180761,-26.6873,23,6,17,1077696.44
0.60,A3_conservative,R4_xconservative,5,90,7.7217,1.9969,0.144687,0.184286,-25.8508,25,10,15,1077216.61
0.70,A3_conservative,R3_conservative,5,90,7.7372,2.0008,0.144124,0.180473,-26.6311,27,10,17,1077371.79
0.60,A1_aggressive,R4_xconservative,5,90,7.4596,1.9309,0.138272,0.177898,-28.9619,26,11,15,1074595.59
0.60,A5_narrow,R3_conservative,5,90,7.4239,1.9219,0.137899,0.173375,-28.9619,26,9,17,1074239.22
0.70,A4_xconservative,R4_xconservative,3,90,7.3991,1.9156,0.137420,0.172263,-26.6873,22,7,15,1073991.35
0.70,A4_xconservative,R3_conservative,7,90,7.2892,1.8879,0.135481,0.169043,-26.6873,20,6,14,1072892.32
0.60,A3_conservative,R3_conservative,5,90,7.2319,1.8734,0.135147,0.170506,-25.8508,27,10,17,1072319.33
0.70,A1_aggressive,R3_conservative,5,90,7.2145,1.8690,0.133797,0.169640,-28.9619,28,11,17,1072144.78
0.50,A5_narrow,R4_xconservative,5,90,7.1748,1.8590,0.133132,0.169429,-28.9619,24,9,15,1071747.56
0.70,A5_narrow,R4_xconservative,3,90,7.1639,1.8562,0.132954,0.167132,-28.9619,25,10,15,1071639.09
0.60,A4_xconservative,R4_xconservative,5,90,7.0351,1.8237,0.130829,0.165704,-25.8892,21,6,15,1070351.25
0.50,A3_conservative,R4_xconservative,5,90,6.9963,1.8139,0.130779,0.167570,-25.0687,25,10,15,1069963.08
0.70,A4_xconservative,R2_standard,7,90,7.0439,1.8259,0.130674,0.162820,-26.6873,20,6,14,1070439.09
0.50,A1_aggressive,R4_xconservative,5,90,7.0335,1.8233,0.130360,0.167986,-28.9619,26,11,15,1070335.49
0.70,A3_conservative,R4_xconservative,3,90,7.0272,1.8217,0.130280,0.163745,-26.5779,26,11,15,1070272.40
0.60,A1_aggressive,R3_conservative,5,90,7.0108,1.8175,0.129938,0.165458,-28.9619,28,11,17,1070108.44
0.70,A4_xconservative,R3_conservative,3,90,6.9772,1.8090,0.129370,0.161013,-26.6873,25,7,18,1069772.28
0.50,A5_narrow,R3_conservative,5,90,6.9525,1.8028,0.128934,0.162270,-28.9619,26,9,17,1069525.14
0.70,A1_aggressive,R4_xconservative,3,90,6.9260,1.7961,0.128808,0.164386,-28.9619,27,12,15,1069260.44
0.70,A4_xconservative,R4_xconservative,7,90,6.8760,1.7834,0.127367,0.160124,-26.6873,19,6,13,1068760.02
0.70,A5_narrow,R3_conservative,3,90,6.7781,1.7586,0.125779,0.156809,-28.9619,28,10,18,1067781.16
0.50,A1_aggressive,R3_conservative,5,90,6.7804,1.7592,0.125453,0.159894,-28.9619,28,11,17,1067803.65
0.60,A1_aggressive,R4_xconservative,3,90,6.7264,1.7455,0.124754,0.160180,-28.9619,27,12,15,1067264.35
0.50,A3_conservative,R3_conservative,5,90,6.6942,1.7374,0.124555,0.157983,-25.0687,27,10,17,1066942.40
0.60,A5_narrow,R4_xconservative,3,90,6.5856,1.7098,0.122021,0.154446,-28.9619,25,10,15,1065855.98
0.70,A3_conservative,R3_conservative,3,90,6.5911,1.7112,0.121806,0.151989,-26.5779,29,11,18,1065911.32
0.70,A5_narrow,R2_standard,5,90,6.5628,1.7040,0.121774,0.152117,-28.9619,25,9,16,1065628.10
