core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A4_xconservative,R4_xconservative,5,60,14.6818,3.7087,0.260924,0.330347,-25.4519,56,19,22,1146818.19
0.70,A3_conservative,R4_xconservative,7,60,13.9632,3.5355,0.248996,0.314947,-25.9466,54,20,21,1139632.04
0.70,A2_standard,R4_xconservative,7,60,14.3445,3.6275,0.248865,0.314084,-27.1424,55,21,21,1143444.88
0.70,A4_xconservative,R4_xconservative,7,60,13.8481,3.5077,0.247684,0.313190,-25.6519,53,19,21,1138480.68
0.70,A3_conservative,R4_xconservative,5,60,13.7944,3.4947,0.245904,0.310816,-25.4519,58,21,22,1137944.33
0.70,A3_conservative,R3_conservative,7,90,13.2759,3.3692,0.245752,0.315174,-26.5488,45,11,21,1132759.36
0.70,A1_aggressive,R4_xconservative,5,90,13.5672,3.4398,0.244115,0.314597,-28.9619,46,13,21,1135671.82
0.60,A4_xconservative,R4_xconservative,5,60,13.2915,3.3729,0.243581,0.307052,-24.5751,56,19,22,1132914.60
0.70,A3_conservative,R4_xconservative,5,90,13.1231,3.3321,0.242307,0.312582,-26.6313,44,11,21,1131231.16
0.70,A4_xconservative,R3_conservative,7,90,13.0234,3.3079,0.241290,0.309686,-26.6136,41,7,21,1130233.69
0.70,A5_narrow,R4_xconservative,7,60,13.7548,3.4852,0.239667,0.302378,-27.1424,55,21,21,1137548.45
0.70,A1_aggressive,R4_xconservative,7,60,13.4765,3.4178,0.234564,0.295876,-28.0120,56,22,21,1134764.96
0.70,A2_standard,R4_xconservative,5,60,13.1874,3.3477,0.230695,0.290154,-26.8549,60,22,22,1131873.55
0.70,A1_aggressive,R3_conservative,7,90,12.6935,3.2276,0.229711,0.294549,-28.9619,45,12,21,1126935.38
0.70,A5_narrow,R3_conservative,7,90,12.6044,3.2059,0.228511,0.292061,-28.9619,44,10,21,1126044.42
0.70,A4_xconservative,R3_conservative,5,60,12.6503,3.2171,0.227645,0.286338,-25.4519,56,19,22,1126503.23
0.70,A6_wide,R4_xconservative,7,60,12.9001,3.2779,0.225997,0.284336,-27.5643,57,24,21,1129000.51
0.70,A4_xconservative,R4_xconservative,5,90,12.1804,3.1025,0.225799,0.290968,-26.6136,39,7,21,1121803.83
0.60,A2_standard,R4_xconservative,7,60,12.6664,3.2210,0.225002,0.282068,-25.6362,55,21,21,1126663.61
0.70,A6_wide,R4_xconservative,5,90,12.4292,3.1632,0.224768,0.288747,-28.9619,47,15,21,1124292.44
0.70,A5_narrow,R4_xconservative,5,90,12.4062,3.1576,0.224730,0.288903,-28.9619,43,10,21,1124062.22
0.60,A3_conservative,R4_xconservative,7,60,12.1546,3.0962,0.223564,0.281323,-24.0072,54,20,21,1121545.61
0.50,A4_xconservative,R4_xconservative,5,60,11.8715,3.0269,0.223324,0.279227,-23.7116,56,19,22,1118714.72
0.60,A3_conservative,R4_xconservative,5,60,12.1343,3.0912,0.222713,0.280015,-24.5751,58,21,22,1121343.10
0.70,A1_aggressive,R3_conservative,5,90,12.2248,3.1133,0.221848,0.284460,-28.9619,50,13,24,1122248.42
0.70,A6_wide,R4_xconservative,5,60,12.6216,3.2101,0.221554,0.278443,-27.2827,61,25,22,1126215.62
0.60,A4_xconservative,R4_xconservative,7,60,12.0024,3.0590,0.221516,0.278726,-23.7207,53,19,21,1120024.19
0.70,A3_conservative,R3_conservative,5,90,11.9327,3.0419,0.221512,0.284214,-26.6313,49,11,24,1119326.61
0.70,A4_xconservative,R1_aggressive,7,90,11.8659,3.0255,0.221268,0.283346,-26.6136,42,7,22,1118658.67
0.70,A5_narrow,R4_xconservative,5,60,12.4745,3.1743,0.219392,0.275741,-27.1508,60,23,22,1124745.05
0.70,A3_conservative,R4_xconservative,7,90,11.6187,2.9650,0.215387,0.276832,-26.5488,42,11,19,1116187.16
0.70,A4_xconservative,R6_wide,7,90,11.5196,2.9407,0.214948,0.274664,-26.6136,44,7,25,1115196.19
0.70,A3_conservative,R2_standard,7,90,11.4956,2.9348,0.213576,0.274182,-26.5488,46,11,21,1114956.37
0.60,A4_xconservative,R3_conservative,5,60,11.5575,2.9500,0.213159,0.267105,-24.5751,56,19,22,1115574.58
0.70,A2_standard,R4_xconservative,5,90,11.6851,2.9813,0.212869,0.273228,-28.9619,45,12,21,1116850.64
0.70,A3_conservative,R3_conservative,5,60,11.7783,3.0041,0.212661,0.267054,-25.4519,58,21,22,1117783.44
0.60,A5_narrow,R4_xconservative,7,60,11.8886,3.0311,0.212283,0.266020,-25.6362,55,21,21,1118886.03
0.60,A1_aggressive,R4_xconservative,5,90,11.4187,2.9159,0.211823,0.272969,-28.9619,46,13,21,1114187.05
0.70,A4_xconservative,R4_xconservative,7,90,11.3771,2.9057,0.211051,0.271456,-26.6136,37,7,19,1113770.59
0.70,A3_conservative,R1_aggressive,7,90,11.2443,2.8731,0.209637,0.267987,-26.5488,46,11,22,1112442.76
