core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A4_xconservative,R4_xconservative,5,90,23.4511,20.1659,0.927971,1.035256,-20.9530,8,2,6,1234511.05
0.70,A3_conservative,R4_xconservative,5,90,23.2834,20.0235,0.922046,1.029093,-21.1025,8,2,6,1232833.93
0.70,A2_standard,R4_xconservative,5,90,24.1580,20.7656,0.920517,1.028935,-22.4548,8,2,6,1241580.16
0.70,A5_narrow,R4_xconservative,5,90,24.1580,20.7656,0.920517,1.028935,-22.4548,8,2,6,1241580.16
0.70,A6_wide,R4_xconservative,5,90,24.1580,20.7656,0.920517,1.028935,-22.4548,8,2,6,1241580.16
0.70,A4_xconservative,R4_xconservative,7,90,23.0884,19.8579,0.915557,1.025133,-20.7546,8,2,6,1230883.61
0.70,A1_aggressive,R4_xconservative,5,90,23.9918,20.6246,0.914804,1.022909,-22.6049,8,2,6,1239917.76
0.60,A4_xconservative,R4_xconservative,5,90,21.5110,18.5175,0.908732,1.019063,-20.3473,8,2,6,1215109.60
0.70,A3_conservative,R4_xconservative,7,90,22.8099,19.6214,0.905877,1.014861,-20.9760,8,2,6,1228098.92
0.70,A2_standard,R4_xconservative,7,90,23.6622,20.3450,0.904808,1.015166,-22.3167,8,2,6,1236622.22
0.70,A5_narrow,R4_xconservative,7,90,23.6622,20.3450,0.904808,1.015166,-22.3167,8,2,6,1236622.22
0.70,A6_wide,R4_xconservative,7,90,23.6622,20.3450,0.904808,1.015166,-22.3167,8,2,6,1236622.22
0.60,A4_xconservative,R4_xconservative,7,90,21.3663,18.3944,0.903130,1.015981,-20.0798,8,2,6,1213662.62
0.60,A3_conservative,R4_xconservative,5,90,21.2913,18.3306,0.900324,1.010255,-20.5480,8,2,6,1212913.25
0.60,A2_standard,R4_xconservative,5,90,22.4423,19.3092,0.897114,1.008140,-22.3547,8,2,6,1224423.32
0.60,A5_narrow,R4_xconservative,5,90,22.4423,19.3092,0.897114,1.008140,-22.3547,8,2,6,1224423.32
0.60,A6_wide,R4_xconservative,5,90,22.4423,19.3092,0.897114,1.008140,-22.3547,8,2,6,1224423.32
0.70,A1_aggressive,R4_xconservative,7,90,23.3844,20.1092,0.895480,1.005152,-22.5376,8,2,6,1233843.58
0.60,A3_conservative,R4_xconservative,7,90,21.0013,18.0839,0.889387,1.001310,-20.3770,8,2,6,1210013.40
0.60,A1_aggressive,R4_xconservative,5,90,22.2239,19.1236,0.889144,0.999630,-22.5549,8,2,6,1222239.36
0.60,A2_standard,R4_xconservative,7,90,22.1255,19.0400,0.886573,0.999628,-22.1693,8,2,6,1221255.33
0.60,A5_narrow,R4_xconservative,7,90,22.1255,19.0400,0.886573,0.999628,-22.1693,8,2,6,1221255.33
0.60,A6_wide,R4_xconservative,7,90,22.1255,19.0400,0.886573,0.999628,-22.1693,8,2,6,1221255.33
0.50,A4_xconservative,R4_xconservative,7,90,19.6533,16.9359,0.885318,0.991981,-19.4014,8,2,6,1196532.58
0.50,A4_xconservative,R4_xconservative,5,90,19.5864,16.8790,0.883119,0.986893,-19.7390,8,2,6,1195864.30
0.70,A4_xconservative,R4_xconservative,3,90,21.9988,18.9323,0.879895,0.986102,-20.8794,11,3,8,1219988.21
0.70,A4_xconservative,R3_conservative,7,90,21.8480,18.8041,0.876968,0.976312,-20.7546,8,2,6,1218480.01
0.60,A1_aggressive,R4_xconservative,7,90,21.7602,18.7294,0.873553,0.985510,-22.4640,8,2,6,1217601.99
0.50,A3_conservative,R4_xconservative,5,90,19.3168,16.6492,0.871959,0.977546,-19.9917,8,2,6,1193168.09
0.70,A2_standard,R4_xconservative,3,90,22.5747,19.4216,0.870710,0.977861,-22.4396,11,3,8,1225746.69
0.70,A5_narrow,R4_xconservative,3,90,22.5747,19.4216,0.870710,0.977861,-22.4396,11,3,8,1225746.69
0.70,A6_wide,R4_xconservative,3,90,22.5747,19.4216,0.870710,0.977861,-22.4396,11,3,8,1225746.69
0.70,A3_conservative,R4_xconservative,3,90,21.7246,18.6992,0.870271,0.975810,-21.0993,11,3,8,1217246.19
0.70,A3_conservative,R3_conservative,7,90,21.5729,18.5702,0.867289,0.966071,-20.9760,8,2,6,1215729.35
0.50,A2_standard,R4_xconservative,5,90,20.7367,17.8587,0.867135,0.973221,-22.2544,8,2,6,1207367.27
0.50,A5_narrow,R4_xconservative,5,90,20.7367,17.8587,0.867135,0.973221,-22.2544,8,2,6,1207367.27
