core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A4_xconservative,R4_xconservative,5,90,20.2966,17.4840,0.828435,0.919736,-21.2525,10,2,6,1202965.85
0.70,A3_conservative,R4_xconservative,5,90,20.1350,17.3463,0.822549,0.913587,-21.3541,10,2,6,1201349.75
0.70,A4_xconservative,R4_xconservative,7,90,19.9392,17.1796,0.815836,0.909031,-21.0529,10,2,6,1199391.67
0.70,A1_aggressive,R4_xconservative,5,90,20.6836,17.8135,0.815496,0.907335,-22.7589,12,3,6,1206836.30
0.70,A6_wide,R4_xconservative,5,90,20.4860,17.6452,0.809516,0.899673,-22.6556,12,3,6,1204859.78
0.70,A2_standard,R4_xconservative,5,90,20.4466,17.6117,0.808706,0.898500,-22.6556,10,2,6,1204466.20
0.70,A5_narrow,R4_xconservative,5,90,20.4466,17.6117,0.808706,0.898500,-22.6556,10,2,6,1204466.20
0.70,A4_xconservative,R3_conservative,7,90,19.6828,16.9612,0.808084,0.897640,-21.0529,10,2,6,1196828.46
0.70,A3_conservative,R4_xconservative,7,90,19.6699,16.9501,0.806174,0.898756,-21.2261,10,2,6,1196698.50
0.70,A6_wide,R4_xconservative,7,90,20.2275,17.4252,0.800709,0.893652,-22.5158,12,3,6,1202275.36
0.70,A1_aggressive,R4_xconservative,7,90,20.1676,17.3741,0.798479,0.891605,-22.6896,12,3,6,1201675.84
0.70,A3_conservative,R3_conservative,7,90,19.4141,16.7321,0.798409,0.887372,-21.2261,10,2,6,1194141.06
0.70,A6_wide,R3_conservative,7,90,20.0055,17.2361,0.794309,0.884022,-22.5158,12,3,6,1200055.15
0.70,A2_standard,R4_xconservative,7,90,19.9698,17.2057,0.792957,0.884299,-22.5158,10,2,6,1199698.33
0.70,A5_narrow,R4_xconservative,7,90,19.9698,17.2057,0.792957,0.884299,-22.5158,10,2,6,1199698.33
0.70,A1_aggressive,R3_conservative,7,90,19.9540,17.1922,0.792344,0.882288,-22.6896,12,3,6,1199539.86
0.70,A2_standard,R3_conservative,7,90,19.7129,16.9867,0.785400,0.873343,-22.5158,10,2,6,1197128.60
0.70,A5_narrow,R3_conservative,7,90,19.7129,16.9867,0.785400,0.873343,-22.5158,10,2,6,1197128.60
0.70,A4_xconservative,R4_xconservative,3,90,18.8738,16.2715,0.779584,0.869399,-21.1804,13,3,8,1188738.21
0.60,A4_xconservative,R4_xconservative,5,90,17.7090,15.2773,0.778142,0.867808,-20.6448,10,2,6,1177089.67
0.70,A4_xconservative,R3_conservative,3,90,18.7175,16.1382,0.775063,0.861009,-21.1804,14,3,9,1187175.36
0.60,A4_xconservative,R4_xconservative,7,90,17.5621,15.1519,0.772311,0.863997,-20.3768,10,2,6,1175621.39
0.70,A3_conservative,R4_xconservative,3,90,18.6082,16.0449,0.769967,0.859097,-21.3524,13,3,8,1186082.39
0.60,A3_conservative,R4_xconservative,5,90,17.4985,15.0976,0.769770,0.858978,-20.7813,10,2,6,1174984.72
0.70,A4_xconservative,R2_standard,7,90,18.5725,16.0144,0.768503,0.855562,-21.0529,9,2,5,1185725.06
0.70,A3_conservative,R3_conservative,3,90,18.4523,15.9119,0.765433,0.850726,-21.3524,14,3,9,1184523.04
0.60,A4_xconservative,R3_conservative,7,90,17.3253,14.9497,0.764135,0.850604,-20.3768,10,2,6,1173253.48
0.70,A4_xconservative,R5_narrow,7,90,18.3409,15.8168,0.762252,0.849472,-21.0529,9,2,5,1183408.73
0.60,A1_aggressive,R4_xconservative,5,90,18.2207,15.7142,0.760979,0.848738,-22.6585,12,3,6,1182206.89
0.70,A6_wide,R4_xconservative,3,90,18.9477,16.3344,0.759019,0.847498,-22.6421,15,4,8,1189476.57
0.70,A3_conservative,R2_standard,7,90,18.3063,15.7872,0.758873,0.845303,-21.2261,9,2,5,1183062.60
0.60,A3_conservative,R4_xconservative,7,90,17.2112,14.8521,0.758553,0.849251,-20.6092,10,2,6,1172111.55
0.70,A2_standard,R4_xconservative,3,90,18.9088,16.3013,0.758167,0.846292,-22.6421,13,3,8,1189087.97
0.70,A5_narrow,R4_xconservative,3,90,18.9088,16.3013,0.758167,0.846292,-22.6421,13,3,8,1189087.97
0.70,A6_wide,R2_standard,7,90,18.8927,16.2876,0.756441,0.843678,-22.5158,11,3,5,1188927.25
0.70,A1_aggressive,R4_xconservative,3,90,18.8455,16.2473,0.755413,0.843876,-22.8139,14,3,8,1188455.16
0.70,A6_wide,R3_conservative,3,90,18.7973,16.2062,0.754797,0.839737,-22.6421,16,4,9,1187972.66
0.70,A1_aggressive,R2_standard,7,90,18.8425,16.2447,0.754519,0.841970,-22.6896,10,3,5,1188424.51
0.70,A2_standard,R3_conservative,3,90,18.7519,16.1674,0.753728,0.838282,-22.6421,14,3,9,1187518.82
0.70,A5_narrow,R3_conservative,3,90,18.7519,16.1674,0.753728,0.838282,-22.6421,14,3,9,1187518.82
0.70,A3_conservative,R5_narrow,7,90,18.0751,15.5900,0.752593,0.839147,-21.2261,9,2,5,1180751.47
0.60,A6_wide,R4_xconservative,5,90,17.9595,15.4913,0.752433,0.838041,-22.5206,12,3,6,1179594.88
0.60,A6_wide,R4_xconservative,7,90,17.9499,15.4830,0.751833,0.840709,-22.3340,12,3,6,1179498.60
0.70,A1_aggressive,R3_conservative,3,90,18.7009,16.1240,0.751369,0.836334,-22.8139,15,3,9,1187008.93
0.60,A2_standard,R4_xconservative,5,90,17.9055,15.4451,0.751096,0.838260,-22.5206,10,2,6,1179054.82
0.60,A5_narrow,R4_xconservative,5,90,17.9055,15.4451,0.751096,0.838260,-22.5206,10,2,6,1179054.82
0.60,A3_conservative,R3_conservative,7,90,16.9751,14.6504,0.750365,0.835914,-20.6092,10,2,6,1169750.73
0.70,A6_wide,R5_narrow,7,90,18.6599,16.0890,0.750305,0.837914,-22.5158,11,3,5,1186599.25
0.60,A1_aggressive,R4_xconservative,7,90,17.8684,15.4135,0.748588,0.837569,-22.5659,12,3,6,1178683.86
0.70,A4_xconservative,R2_standard,3,90,17.9692,15.4996,0.748587,0.832805,-21.1804,12,3,7,1179692.44
0.70,A1_aggressive,R5_narrow,7,90,18.6090,16.0455,0.748357,0.836162,-22.6896,11,3,5,1186089.74
