core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.40,A2_standard,R2_standard,7,60,59.1179,13.1414,0.768145,0.998024,-14.8487,38,17,21,1591179.39
0.30,A2_standard,R2_standard,7,60,58.3126,12.9889,0.767912,0.999553,-14.5446,38,17,21,1583126.22
0.50,A2_standard,R2_standard,7,60,59.8307,13.2759,0.765812,0.992873,-15.1529,38,17,21,1598307.33
0.70,A3_conservative,R2_standard,7,60,58.8652,13.0936,0.762584,0.968013,-17.7344,33,13,20,1588651.88
0.60,A2_standard,R2_standard,7,60,60.4504,13.3925,0.761150,0.983347,-16.6543,38,17,21,1604503.86
0.70,A4_xconservative,R2_standard,7,60,57.9839,12.9265,0.757133,0.961990,-17.7344,33,13,20,1579839.19
0.70,A2_standard,R2_standard,7,60,60.9764,13.4912,0.754422,0.969460,-18.2942,38,17,21,1609763.57
0.60,A3_conservative,R2_standard,7,60,55.4653,12.4451,0.749376,0.952269,-17.3528,33,13,20,1554652.95
0.60,A4_xconservative,R2_standard,7,60,55.0522,12.3656,0.748834,0.953741,-17.3528,33,13,20,1550521.93
0.70,A5_narrow,R2_standard,7,60,60.8251,13.4628,0.746500,0.943215,-18.8249,33,13,20,1608251.47
0.40,A2_standard,R2_standard,5,60,57.2980,12.7960,0.744984,0.961922,-14.3631,40,18,22,1572980.34
0.50,A2_standard,R2_standard,5,60,58.1011,12.9488,0.744556,0.959879,-15.1757,40,18,22,1581011.41
0.30,A2_standard,R2_standard,5,60,56.4205,12.6283,0.743164,0.959621,-13.9765,40,18,22,1564204.95
0.60,A2_standard,R2_standard,5,60,58.8297,13.0869,0.742070,0.954173,-16.7965,40,18,22,1588296.75
0.70,A3_conservative,R2_standard,5,60,56.5944,12.6616,0.739806,0.940516,-17.8951,35,15,21,1565944.19
0.50,A4_xconservative,R2_standard,7,60,52.0938,11.7917,0.738018,0.939751,-16.9712,33,13,20,1520937.73
0.70,A2_standard,R2_standard,5,60,59.4835,13.2104,0.737739,0.945720,-18.3958,40,18,22,1594835.41
0.50,A3_conservative,R2_standard,7,60,52.0628,11.7856,0.733440,0.930591,-16.9712,33,13,20,1520627.75
0.60,A5_narrow,R2_standard,7,60,58.0637,12.9417,0.728226,0.919613,-18.8249,33,13,20,1580637.48
0.70,A5_narrow,R2_standard,5,60,58.4928,13.0231,0.724445,0.916727,-18.9531,35,15,21,1584927.80
0.40,A4_xconservative,R2_standard,7,60,49.1114,11.2047,0.724266,0.922969,-16.5897,33,13,20,1491113.84
0.60,A3_conservative,R2_standard,5,60,53.0785,11.9836,0.724010,0.920413,-17.3528,35,15,21,1530784.66
0.70,A3_conservative,R2_standard,3,60,54.7446,12.3063,0.720594,0.915502,-17.7421,41,18,23,1547445.86
0.70,A4_xconservative,R2_standard,5,60,54.3059,12.2216,0.718298,0.909010,-17.8521,35,15,21,1543059.16
0.70,A6_wide,R4_xconservative,7,60,60.3523,13.3741,0.718110,0.907697,-23.8091,34,16,18,1603523.36
0.40,A3_conservative,R2_standard,7,60,48.6601,11.1151,0.714381,0.906596,-16.5897,33,13,20,1486600.99
0.70,A6_wide,R3_conservative,7,60,59.5547,13.2239,0.713332,0.898294,-23.8091,35,16,19,1595546.97
0.70,A4_xconservative,R1_aggressive,7,60,52.9012,11.9491,0.712060,0.904514,-17.7344,35,15,20,1529012.01
0.30,A2_standard,R1_aggressive,7,60,51.7139,11.7174,0.711290,0.920346,-14.6774,41,20,21,1517138.92
0.40,A2_standard,R1_aggressive,7,60,52.4415,11.8595,0.710768,0.917338,-14.8487,41,20,21,1524414.78
0.70,A5_narrow,R2_standard,3,60,57.0817,12.7547,0.710626,0.899267,-18.8249,41,18,23,1570817.34
0.60,A3_conservative,R2_standard,3,60,51.7668,11.7277,0.709048,0.902087,-17.3528,41,18,23,1517668.37
0.50,A5_narrow,R2_standard,7,60,55.2807,12.4096,0.707837,0.891716,-18.8249,33,13,20,1552807.19
0.60,A4_xconservative,R1_aggressive,7,60,50.4542,11.4700,0.707547,0.899546,-17.3528,35,15,20,1504541.95
0.50,A2_standard,R1_aggressive,7,60,53.0727,11.9825,0.707509,0.912991,-15.1529,41,20,21,1530726.86
0.30,A4_xconservative,R2_standard,7,60,46.1077,10.6048,0.707133,0.900336,-16.2081,33,13,20,1461077.13
0.50,A3_conservative,R2_standard,5,60,49.5745,11.2964,0.705449,0.896203,-16.9712,35,15,21,1495744.84
0.60,A5_narrow,R2_standard,5,60,55.5879,12.4687,0.704019,0.889344,-18.8249,35,15,21,1555878.71
0.60,A2_standard,R2_standard,3,60,55.1194,12.3785,0.702250,0.899882,-17.5418,45,21,24,1551193.63
0.50,A2_standard,R2_standard,3,60,54.2800,12.2166,0.701965,0.902076,-16.1181,45,21,24,1542800.21
0.60,A2_standard,R1_aggressive,7,60,53.6069,12.0862,0.701814,0.903475,-16.4469,41,20,21,1536069.13
0.60,A4_xconservative,R2_standard,5,60,50.8169,11.5414,0.701320,0.887040,-17.3528,35,15,21,1508169.50
0.70,A2_standard,R2_standard,3,60,55.8919,12.5270,0.700876,0.895233,-18.9481,45,21,24,1558919.06
0.50,A4_xconservative,R1_aggressive,7,60,47.9571,10.9752,0.700518,0.889201,-16.9712,35,15,20,1479571.49
0.40,A2_standard,R2_standard,3,60,53.3739,12.0410,0.699866,0.899328,-15.3418,45,21,24,1533739.25
0.70,A4_xconservative,R2_standard,3,60,52.2056,11.8135,0.696768,0.881406,-17.7344,40,17,23,1522055.82
0.60,A5_narrow,R2_standard,3,60,54.8634,12.3292,0.696115,0.880712,-18.8249,41,18,23,1548633.77
0.30,A2_standard,R2_standard,3,60,52.4012,11.8517,0.695811,0.894484,-15.1221,45,21,24,1524011.63
0.70,A3_conservative,R1_aggressive,5,60,51.6407,11.7030,0.695578,0.880453,-17.7406,38,18,21,1516407.24
0.50,A3_conservative,R2_standard,3,60,48.7770,11.1383,0.695145,0.885072,-16.9712,41,18,23,1487769.91
0.60,A2_standard,R1_aggressive,5,60,53.1730,12.0020,0.694669,0.889064,-16.5894,43,21,22,1531730.10
0.50,A2_standard,R1_aggressive,5,60,52.1594,11.8045,0.694058,0.889206,-14.9340,43,21,22,1521594.12
0.70,A2_standard,R1_aggressive,7,60,54.0437,12.1708,0.694010,0.890027,-18.1208,41,20,21,1540436.54
0.70,A2_standard,R1_aggressive,5,60,54.1055,12.1828,0.693149,0.884567,-18.2226,43,21,22,1541055.11
0.30,A3_conservative,R2_standard,7,60,45.2597,10.4338,0.691789,0.875024,-16.2081,33,13,20,1452596.71
0.70,A1_aggressive,R4_xconservative,7,60,56.9344,12.7266,0.691781,0.873529,-23.8091,31,14,17,1569344.27
0.40,A2_standard,R1_aggressive,5,60,51.0654,11.5902,0.691080,0.883542,-14.3631,43,21,22,1510653.93
0.70,A3_conservative,R1_aggressive,7,60,51.4061,11.6571,0.690874,0.874361,-17.7344,35,15,20,1514060.68
0.40,A4_xconservative,R1_aggressive,7,60,45.4130,10.4647,0.690479,0.875083,-16.5897,35,15,20,1454130.48
0.30,A2_standard,R1_aggressive,5,60,49.8917,11.3591,0.685530,0.875745,-13.9765,43,21,22,1498917.03
0.40,A5_narrow,R2_standard,7,60,52.4779,11.8666,0.685304,0.861955,-18.8249,33,13,20,1524778.92
0.40,A3_conservative,R2_standard,5,60,46.0843,10.6001,0.683745,0.868541,-16.5897,35,15,21,1460843.27
0.70,A4_xconservative,R1_aggressive,5,60,50.2419,11.4282,0.683478,0.861620,-17.7344,37,17,21,1502418.60
0.60,A4_xconservative,R2_standard,3,60,49.1569,11.2137,0.683085,0.864953,-17.3528,40,17,23,1491569.32
0.50,A5_narrow,R2_standard,5,60,52.6732,11.9047,0.681544,0.859564,-18.8249,35,15,21,1526731.85
0.50,A4_xconservative,R2_standard,5,60,47.3377,10.8515,0.681457,0.860913,-16.9712,35,15,21,1473377.22
0.50,A5_narrow,R2_standard,3,60,52.6118,11.8927,0.679815,0.859951,-18.8249,41,18,23,1526118.38
0.60,A6_wide,R4_xconservative,7,60,55.4278,12.4379,0.679647,0.854029,-23.5340,34,16,18,1554278.30
0.70,A1_aggressive,R3_conservative,7,60,55.4104,12.4345,0.679644,0.855190,-23.8091,31,14,17,1554104.04
0.40,A3_conservative,R2_standard,3,60,45.7771,10.5382,0.678543,0.863508,-16.5897,41,18,23,1457770.51
0.60,A3_conservative,R1_aggressive,5,60,48.2226,11.0281,0.678529,0.858806,-17.3528,38,18,21,1482226.41
0.30,A4_xconservative,R1_aggressive,7,60,42.8249,9.9386,0.676892,0.857892,-16.2081,35,15,20,1428248.81
0.70,A5_narrow,R1_aggressive,7,60,52.9608,11.9607,0.676635,0.852214,-18.8249,35,15,20,1529608.14
0.60,A3_conservative,R1_aggressive,7,60,48.2021,11.0240,0.676151,0.855036,-17.3528,35,15,20,1482021.42
0.70,A5_narrow,R1_aggressive,5,60,52.6482,11.8998,0.675149,0.850261,-18.8249,38,18,21,1526481.87
0.60,A6_wide,R3_conservative,7,60,54.5056,12.2602,0.673151,0.842873,-23.5340,35,16,19,1545055.94
0.70,A3_conservative,R4_xconservative,7,60,51.7769,11.7297,0.670312,0.838055,-22.0907,29,12,17,1517768.83
0.70,A3_conservative,R6_wide,5,60,48.6697,11.1170,0.667528,0.835554,-18.7924,41,18,24,1486697.05
0.50,A4_xconservative,R2_standard,3,60,46.0997,10.6032,0.666834,0.844733,-16.9712,40,17,23,1460997.22
0.70,A4_xconservative,R6_wide,7,60,48.0792,10.9995,0.664439,0.836157,-18.2370,37,15,22,1480791.56
0.70,A4_xconservative,R4_xconservative,7,60,50.8052,11.5391,0.663954,0.831403,-22.0907,29,12,17,1508051.81
0.60,A4_xconservative,R1_aggressive,5,60,46.6955,10.7229,0.663860,0.835950,-17.3528,37,17,21,1466954.77
0.40,A5_narrow,R2_standard,3,60,50.3285,11.4453,0.661686,0.835400,-18.8249,41,18,23,1503284.75
0.40,A6_wide,R2_standard,7,60,49.7270,11.3266,0.661279,0.853436,-16.9238,42,19,23,1497270.31
0.30,A6_wide,R2_standard,7,60,49.0087,11.1843,0.661189,0.855216,-15.7599,42,19,23,1490086.81
0.30,A5_narrow,R2_standard,7,60,49.6571,11.3127,0.660629,0.829106,-18.8249,33,13,20,1496570.72
0.70,A2_standard,R6_wide,5,60,50.2924,11.4382,0.658970,0.831247,-19.4039,46,21,25,1502924.13
0.50,A6_wide,R2_standard,7,60,50.3482,11.4491,0.658954,0.847289,-18.0877,42,19,23,1503481.51
0.30,A3_conservative,R2_standard,3,60,42.7690,9.9272,0.658876,0.837120,-16.2081,41,18,23,1427689.85
0.30,A3_conservative,R2_standard,5,60,42.6098,9.8946,0.658507,0.833887,-16.2081,35,15,21,1426097.85
0.50,A3_conservative,R1_aggressive,7,60,44.9872,10.3787,0.658414,0.830559,-16.9712,35,15,20,1449872.23
0.50,A3_conservative,R1_aggressive,5,60,44.8037,10.3415,0.658329,0.831411,-16.9712,38,18,21,1448036.66
0.40,A4_xconservative,R2_standard,5,60,43.8703,10.1520,0.658329,0.831274,-16.5897,35,15,21,1438702.82
0.70,A3_conservative,R3_conservative,7,60,50.3822,11.4558,0.658147,0.819807,-22.0907,29,12,17,1503821.77
0.60,A5_narrow,R1_aggressive,7,60,50.2593,11.4316,0.657418,0.825885,-18.8249,35,15,20,1502592.73
0.40,A5_narrow,R2_standard,5,60,49.7503,11.3312,0.657004,0.827475,-18.8249,35,15,21,1497502.87
0.60,A1_aggressive,R4_xconservative,7,60,52.5398,11.8787,0.655531,0.823835,-23.5340,31,14,17,1525397.74
0.70,A4_xconservative,R6_wide,5,60,47.2790,10.8398,0.654987,0.816426,-18.7497,40,17,24,1472789.55
