core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A6_wide,R4_xconservative,3,90,17.8388,15.3882,0.674830,0.678643,-17.8966,14,5,9,1178388.02
0.70,A1_aggressive,R4_xconservative,7,90,17.8010,15.3559,0.673179,0.677716,-17.7765,12,4,8,1178010.16
0.70,A6_wide,R4_xconservative,7,90,17.8010,15.3559,0.673179,0.677716,-17.7765,12,4,8,1178010.16
0.70,A1_aggressive,R4_xconservative,3,90,17.6075,15.1907,0.667498,0.671002,-18.0578,14,5,9,1176074.86
0.60,A6_wide,R4_xconservative,3,90,16.5829,14.3152,0.646178,0.641035,-17.7765,14,5,9,1165829.19
0.60,A1_aggressive,R4_xconservative,7,90,16.5471,14.2845,0.644450,0.642371,-17.7765,12,4,8,1165470.69
0.60,A6_wide,R4_xconservative,7,90,16.5471,14.2845,0.644450,0.642371,-17.7765,12,4,8,1165470.69
0.60,A1_aggressive,R4_xconservative,3,90,16.2781,14.0545,0.636201,0.630804,-17.8821,14,5,9,1162781.28
0.50,A6_wide,R4_xconservative,3,90,15.3324,13.2452,0.614604,0.602881,-17.7765,14,5,9,1153323.80
0.50,A1_aggressive,R4_xconservative,7,90,15.2985,13.2162,0.612901,0.602741,-17.7765,12,4,8,1152985.28
0.50,A6_wide,R4_xconservative,7,90,15.2985,13.2162,0.612901,0.602741,-17.7765,12,4,8,1152985.28
0.70,A4_xconservative,R4_xconservative,7,90,15.0951,13.0420,0.609352,0.613902,-16.9336,8,2,6,1150950.96
0.70,A2_standard,R4_xconservative,7,90,15.6615,13.5269,0.609251,0.616184,-17.9788,8,2,6,1156615.02
0.70,A5_narrow,R4_xconservative,7,90,15.6615,13.5269,0.609251,0.616184,-17.9788,8,2,6,1156615.02
0.50,A1_aggressive,R4_xconservative,3,90,14.9559,12.9228,0.601920,0.590054,-17.7765,14,5,9,1149559.04
0.30,A6_wide,R4_xconservative,3,60,14.7937,12.7838,0.601513,0.588631,-17.7765,22,10,12,1147936.68
0.70,A4_xconservative,R4_xconservative,5,90,14.8572,12.8383,0.601386,0.613085,-16.8609,8,2,6,1148572.25
0.70,A3_conservative,R4_xconservative,7,90,14.8265,12.8119,0.600280,0.607031,-17.1397,8,2,6,1148264.97
0.40,A6_wide,R4_xconservative,3,60,14.8490,12.8312,0.599134,0.590276,-17.7765,22,10,12,1148490.02
0.70,A2_standard,R4_xconservative,5,90,15.2347,13.1616,0.596006,0.609918,-18.0337,8,2,6,1152346.94
0.70,A5_narrow,R4_xconservative,5,90,15.2347,13.1616,0.596006,0.609918,-18.0337,8,2,6,1152346.94
0.50,A6_wide,R4_xconservative,3,60,14.9016,12.8762,0.595567,0.594429,-17.7765,22,10,12,1149015.55
0.70,A1_aggressive,R2_standard,5,90,15.0333,12.9891,0.593351,0.582040,-17.7765,14,4,10,1150332.69
0.70,A6_wide,R2_standard,5,90,15.0333,12.9891,0.593351,0.582040,-17.7765,14,4,10,1150332.69
0.60,A2_standard,R4_xconservative,7,90,14.8813,12.8589,0.593192,0.592944,-17.7765,8,2,6,1148813.41
0.60,A5_narrow,R4_xconservative,7,90,14.8813,12.8589,0.593192,0.592944,-17.7765,8,2,6,1148813.41
0.60,A6_wide,R4_xconservative,3,60,14.9513,12.9189,0.590993,0.590845,-17.8821,22,10,12,1149513.28
0.70,A1_aggressive,R3_conservative,7,90,14.9212,12.8931,0.587834,0.588429,-17.7765,13,4,9,1149212.49
0.70,A6_wide,R3_conservative,7,90,14.9212,12.8931,0.587834,0.588429,-17.7765,13,4,9,1149212.49
0.70,A3_conservative,R4_xconservative,5,90,14.4191,12.4628,0.586957,0.600435,-17.1798,8,2,6,1144190.80
0.60,A4_xconservative,R4_xconservative,7,90,13.9261,12.0402,0.586173,0.583287,-16.4053,8,2,6,1139260.92
0.70,A6_wide,R4_xconservative,3,60,14.9983,12.9591,0.585607,0.591074,-18.0578,22,10,12,1149983.17
0.70,A1_aggressive,R2_standard,7,90,14.7467,12.7436,0.584167,0.582104,-17.8877,13,4,9,1147467.08
0.70,A6_wide,R2_standard,7,90,14.7467,12.7436,0.584167,0.582104,-17.8877,13,4,9,1147467.08
0.70,A4_xconservative,R4_xconservative,3,90,14.2810,12.3445,0.582683,0.592178,-16.8928,9,3,6,1142810.42
0.30,A1_aggressive,R4_xconservative,3,60,14.2323,12.3027,0.582679,0.572633,-17.7765,22,10,12,1142323.12
0.60,A4_xconservative,R4_xconservative,5,90,13.7758,11.9113,0.580742,0.586678,-16.4116,8,2,6,1137757.56
0.60,A3_conservative,R4_xconservative,7,90,13.7753,11.9108,0.580613,0.579995,-16.4669,8,2,6,1137752.61
0.60,A2_standard,R4_xconservative,5,90,14.4814,12.5162,0.580395,0.588954,-17.7765,8,2,6,1144813.88
0.60,A5_narrow,R4_xconservative,5,90,14.4814,12.5162,0.580395,0.588954,-17.7765,8,2,6,1144813.88
0.40,A6_wide,R4_xconservative,3,90,14.0872,12.1784,0.580106,0.554381,-17.7765,14,5,9,1140872.45
0.40,A1_aggressive,R4_xconservative,7,90,14.0555,12.1511,0.578525,0.554116,-17.7765,12,4,8,1140554.59
0.40,A6_wide,R4_xconservative,7,90,14.0555,12.1511,0.578525,0.554116,-17.7765,12,4,8,1140554.59
0.40,A1_aggressive,R4_xconservative,3,60,14.2177,12.2902,0.578271,0.573818,-17.7765,22,10,12,1142176.92
0.50,A2_standard,R4_xconservative,7,90,14.0978,12.1875,0.575036,0.565945,-17.7765,8,2,6,1140978.48
0.50,A5_narrow,R4_xconservative,7,90,14.0978,12.1875,0.575036,0.565945,-17.7765,8,2,6,1140978.48
0.50,A1_aggressive,R4_xconservative,3,60,14.2006,12.2756,0.572813,0.575654,-17.7765,22,10,12,1142006.22
