core_pct,fire_config,retrieve_config,cooldown,lookback,total_return_pct,annual_return_pct,sharpe_excess,sortino_excess,max_dd_pct,n_trades,n_fire,n_retrieve,final_value
0.70,A2_standard,R4_xconservative,7,90,17.1286,14.7816,0.655256,0.659580,-17.7765,15,2,9,1171286.05
0.70,A5_narrow,R4_xconservative,7,90,17.1286,14.7816,0.655256,0.659580,-17.7765,15,2,9,1171286.05
0.70,A3_conservative,R4_xconservative,7,90,16.4934,14.2386,0.655017,0.659821,-16.7575,15,2,9,1164934.12
0.70,A4_xconservative,R4_xconservative,7,90,16.3347,14.1029,0.650174,0.654629,-16.7490,16,2,9,1163347.36
0.70,A1_aggressive,R4_xconservative,7,90,16.7134,14.4267,0.641622,0.645416,-18.4985,17,4,10,1167134.43
0.70,A6_wide,R4_xconservative,7,90,16.7134,14.4267,0.641622,0.645416,-18.4985,17,4,10,1167134.43
0.70,A2_standard,R2_standard,7,90,15.9766,13.7966,0.623662,0.620285,-17.7765,15,2,10,1159766.16
0.70,A5_narrow,R2_standard,7,90,15.9766,13.7966,0.623662,0.620285,-17.7765,15,2,10,1159766.16
0.70,A1_aggressive,R3_conservative,7,90,16.0192,13.8330,0.622505,0.624412,-17.7765,17,4,11,1160192.24
0.70,A6_wide,R3_conservative,7,90,16.0192,13.8330,0.622505,0.624412,-17.7765,17,4,11,1160192.24
0.70,A3_conservative,R2_standard,7,90,15.3480,13.2585,0.622198,0.618718,-16.7575,15,2,10,1153479.72
0.70,A4_xconservative,R2_standard,7,90,15.1909,13.1240,0.617282,0.613535,-16.7490,16,2,10,1151908.59
0.60,A2_standard,R4_xconservative,7,90,15.5741,13.4521,0.616451,0.612348,-17.7765,15,2,9,1155741.13
0.60,A5_narrow,R4_xconservative,7,90,15.5741,13.4521,0.616451,0.612348,-17.7765,15,2,9,1155741.13
0.70,A1_aggressive,R2_standard,7,90,15.7462,13.5994,0.615919,0.615215,-17.8877,17,4,11,1157462.12
0.70,A6_wide,R2_standard,7,90,15.7462,13.5994,0.615919,0.615215,-17.8877,17,4,11,1157462.12
0.60,A3_conservative,R4_xconservative,7,90,14.7383,12.7364,0.614584,0.610728,-16.4166,15,2,9,1147383.20
0.70,A2_standard,R5_narrow,7,90,15.5076,13.3952,0.609384,0.605169,-17.7765,15,2,10,1155076.26
0.70,A5_narrow,R5_narrow,7,90,15.5076,13.3952,0.609384,0.605169,-17.7765,15,2,10,1155076.26
0.70,A6_wide,R4_xconservative,3,90,15.6711,13.5351,0.609349,0.614019,-18.9666,21,5,11,1156710.53
0.60,A4_xconservative,R4_xconservative,7,90,14.5269,12.5552,0.607682,0.601747,-16.4053,16,2,9,1145268.65
0.70,A3_conservative,R5_narrow,7,90,14.8819,12.8594,0.607249,0.602863,-16.7575,15,2,10,1148818.82
0.60,A1_aggressive,R4_xconservative,7,90,15.1792,13.1140,0.603300,0.597880,-18.0808,17,4,10,1151792.16
0.60,A6_wide,R4_xconservative,7,90,15.1792,13.1140,0.603300,0.597880,-18.0808,17,4,10,1151792.16
0.70,A4_xconservative,R5_narrow,7,90,14.7254,12.7253,0.602318,0.597678,-16.7490,16,2,10,1147254.06
0.70,A1_aggressive,R4_xconservative,3,90,15.4440,13.3407,0.602050,0.606421,-19.1257,21,5,11,1154439.91
0.70,A4_xconservative,R4_xconservative,5,90,14.8685,12.8479,0.602046,0.614299,-17.8602,17,2,11,1148684.91
0.70,A1_aggressive,R5_narrow,7,90,14.9826,12.9456,0.592354,0.587320,-18.0239,17,4,11,1149825.66
0.70,A6_wide,R5_narrow,7,90,14.9826,12.9456,0.592354,0.587320,-18.0239,17,4,11,1149825.66
0.70,A2_standard,R4_xconservative,5,90,15.0371,12.9924,0.590431,0.604192,-19.0189,17,2,11,1150371.45
0.70,A5_narrow,R4_xconservative,5,90,15.0371,12.9924,0.590431,0.604192,-19.0189,17,2,11,1150371.45
0.70,A3_conservative,R4_xconservative,5,90,14.4301,12.4722,0.587598,0.601615,-18.1752,17,2,11,1144300.54
0.60,A2_standard,R2_standard,7,90,14.5911,12.6103,0.587512,0.573334,-17.7765,15,2,10,1145911.48
0.60,A5_narrow,R2_standard,7,90,14.5911,12.6103,0.587512,0.573334,-17.7765,15,2,10,1145911.48
0.60,A3_conservative,R2_standard,7,90,13.7628,11.9002,0.583920,0.569638,-16.4166,15,2,10,1137628.05
0.60,A1_aggressive,R3_conservative,7,90,14.4852,12.5195,0.582219,0.575449,-17.7765,17,4,11,1144851.54
0.60,A6_wide,R3_conservative,7,90,14.4852,12.5195,0.582219,0.575449,-17.7765,17,4,11,1144851.54
0.70,A4_xconservative,R6_wide,7,90,14.0106,12.1126,0.578645,0.572352,-16.9418,18,2,12,1140105.77
0.60,A1_aggressive,R2_standard,7,90,14.2824,12.3457,0.577237,0.566804,-17.7765,17,4,11,1142824.42
0.60,A6_wide,R2_standard,7,90,14.2824,12.3457,0.577237,0.566804,-17.7765,17,4,11,1142824.42
0.60,A4_xconservative,R2_standard,7,90,13.5532,11.7203,0.576938,0.560775,-16.4053,16,2,10,1135531.51
0.70,A4_xconservative,R1_aggressive,7,90,13.9308,12.0443,0.576571,0.561613,-16.9418,18,2,12,1139308.26
0.60,A2_standard,R5_narrow,7,90,14.2019,12.2767,0.575267,0.555352,-17.7765,15,2,10,1142018.75
0.60,A5_narrow,R5_narrow,7,90,14.2019,12.2767,0.575267,0.555352,-17.7765,15,2,10,1142018.75
0.50,A2_standard,R4_xconservative,7,90,14.0295,12.1288,0.574088,0.562979,-17.7765,15,2,9,1140294.66
0.50,A5_narrow,R4_xconservative,7,90,14.0295,12.1288,0.574088,0.562979,-17.7765,15,2,9,1140294.66
0.70,A2_standard,R6_wide,7,90,14.3624,12.4142,0.573345,0.569472,-17.9869,18,2,12,1143623.82
0.70,A5_narrow,R6_wide,7,90,14.3624,12.4142,0.573345,0.569472,-17.9869,18,2,12,1143623.82
0.70,A1_aggressive,R6_wide,7,90,14.3561,12.4089,0.572732,0.567609,-18.0246,19,4,12,1143561.50
0.70,A6_wide,R6_wide,7,90,14.3561,12.4089,0.572732,0.567609,-18.0246,19,4,12,1143561.50
0.70,A2_standard,R1_aggressive,7,90,14.2824,12.3457,0.571318,0.558893,-17.9869,18,2,12,1142823.84
0.70,A5_narrow,R1_aggressive,7,90,14.2824,12.3457,0.571318,0.558893,-17.9869,18,2,12,1142823.84
0.60,A3_conservative,R5_narrow,7,90,13.3768,11.5690,0.570861,0.550938,-16.4166,15,2,10,1133767.50
0.70,A1_aggressive,R1_aggressive,7,90,14.2762,12.3403,0.570705,0.557052,-18.0246,19,4,12,1142761.57
0.70,A6_wide,R1_aggressive,7,90,14.2762,12.3403,0.570705,0.557052,-18.0246,19,4,12,1142761.57
0.60,A6_wide,R4_xconservative,3,90,14.1325,12.2172,0.569546,0.563937,-18.5799,21,5,11,1141325.08
0.70,A3_conservative,R6_wide,7,90,13.7427,11.8830,0.569407,0.565390,-17.1479,18,2,12,1137427.48
0.50,A3_conservative,R4_xconservative,7,90,12.9985,11.2444,0.569042,0.557847,-16.0749,15,2,9,1129985.41
0.70,A3_conservative,R1_aggressive,7,90,13.6632,11.8147,0.567318,0.554790,-17.1479,18,2,12,1136631.84
0.60,A4_xconservative,R4_xconservative,5,90,13.3416,11.5388,0.566331,0.570145,-17.0071,17,2,11,1133415.80
0.60,A4_xconservative,R5_narrow,7,90,13.1678,11.3897,0.563859,0.542165,-16.4053,16,2,10,1131678.11
0.50,A1_aggressive,R4_xconservative,7,90,13.6545,11.8073,0.561393,0.551676,-17.7765,17,4,10,1136545.22
0.50,A6_wide,R4_xconservative,7,90,13.6545,11.8073,0.561393,0.551676,-17.7765,17,4,10,1136545.22
0.50,A4_xconservative,R4_xconservative,7,90,12.7374,11.0201,0.559945,0.548524,-16.0611,16,2,9,1127373.57
0.60,A1_aggressive,R4_xconservative,3,90,13.8341,11.9613,0.559614,0.553809,-18.7927,21,5,11,1138341.22
0.60,A2_standard,R4_xconservative,5,90,13.7683,11.9049,0.558386,0.564031,-18.4164,17,2,11,1137683.16
0.60,A5_narrow,R4_xconservative,5,90,13.7683,11.9049,0.558386,0.564031,-18.4164,17,2,11,1137683.16
0.60,A1_aggressive,R5_narrow,7,90,13.6438,11.7981,0.556836,0.537658,-17.7765,17,4,11,1136437.92
0.60,A6_wide,R5_narrow,7,90,13.6438,11.7981,0.556836,0.537658,-17.7765,17,4,11,1136437.92
0.70,A4_xconservative,R4_xconservative,3,90,13.4367,11.6204,0.554695,0.564849,-18.5074,19,3,11,1134367.40
0.60,A3_conservative,R4_xconservative,5,90,12.9677,11.2179,0.553277,0.558938,-17.2828,17,2,11,1129676.90
0.70,A3_conservative,R4_xconservative,3,90,13.3069,11.5090,0.549971,0.560029,-18.6117,19,3,11,1133069.05
0.50,A2_standard,R2_standard,7,90,13.2141,11.4294,0.548495,0.531251,-17.7765,15,2,10,1132141.34
0.50,A5_narrow,R2_standard,7,90,13.2141,11.4294,0.548495,0.531251,-17.7765,15,2,10,1132141.34
0.70,A2_standard,R4_xconservative,3,90,13.7033,11.8491,0.547941,0.557403,-19.5961,19,3,11,1137032.88
0.70,A5_narrow,R4_xconservative,3,90,13.7033,11.8491,0.547941,0.557403,-19.5961,19,3,11,1137032.88
0.60,A2_standard,R6_wide,7,90,13.2161,11.4311,0.543134,0.527764,-17.7765,18,2,12,1132161.19
0.60,A5_narrow,R6_wide,7,90,13.2161,11.4311,0.543134,0.527764,-17.7765,18,2,12,1132161.19
0.60,A4_xconservative,R6_wide,7,90,12.5493,10.8586,0.542103,0.524414,-16.4053,18,2,12,1125492.96
0.60,A2_standard,R1_aggressive,7,90,13.1543,11.3781,0.541446,0.526615,-17.7765,18,2,12,1131542.81
0.60,A5_narrow,R1_aggressive,7,90,13.1543,11.3781,0.541446,0.526615,-17.7765,18,2,12,1131542.81
0.50,A3_conservative,R2_standard,7,90,12.1909,10.5508,0.541289,0.523716,-16.0749,15,2,10,1121909.34
0.60,A4_xconservative,R1_aggressive,7,90,12.4878,10.8058,0.540339,0.523031,-16.4053,18,2,12,1124878.23
0.60,A1_aggressive,R6_wide,7,90,13.0915,11.3241,0.538832,0.523425,-17.7765,19,4,12,1130914.64
0.60,A6_wide,R6_wide,7,90,13.0915,11.3241,0.538832,0.523425,-17.7765,19,4,12,1130914.64
0.50,A1_aggressive,R3_conservative,7,90,12.9613,11.2124,0.538726,0.529211,-17.7765,17,4,11,1129612.74
0.50,A6_wide,R3_conservative,7,90,12.9613,11.2124,0.538726,0.529211,-17.7765,17,4,11,1129612.74
0.50,A2_standard,R5_narrow,7,90,12.9002,11.1600,0.538318,0.517407,-17.7765,15,2,10,1129002.41
0.50,A5_narrow,R5_narrow,7,90,12.9002,11.1600,0.538318,0.517407,-17.7765,15,2,10,1129002.41
0.60,A1_aggressive,R1_aggressive,7,90,13.0297,11.2711,0.537140,0.522256,-17.7765,19,4,12,1130296.94
0.60,A6_wide,R1_aggressive,7,90,13.0297,11.2711,0.537140,0.522256,-17.7765,19,4,12,1130296.94
0.70,A4_xconservative,R3_conservative,3,90,12.8343,11.1034,0.536972,0.539821,-17.7420,23,3,15,1128342.97
0.60,A3_conservative,R6_wide,7,90,12.3980,10.7287,0.536439,0.521043,-16.4166,18,2,12,1123980.11
0.50,A1_aggressive,R2_standard,7,90,12.8301,11.0998,0.535556,0.521228,-17.7765,17,4,11,1128301.42
0.50,A6_wide,R2_standard,7,90,12.8301,11.0998,0.535556,0.521228,-17.7765,17,4,11,1128301.42
0.70,A4_xconservative,R2_standard,3,90,12.7343,11.0175,0.534871,0.527307,-17.7420,24,3,16,1127343.35
0.60,A3_conservative,R1_aggressive,7,90,12.3366,10.6759,0.534669,0.519643,-16.4166,18,2,12,1123366.21
0.70,A3_conservative,R3_conservative,3,90,12.7051,10.9925,0.532230,0.535047,-17.8472,23,3,15,1127051.46
0.50,A4_xconservative,R2_standard,7,90,11.9316,10.3279,0.532116,0.514454,-16.0611,16,2,10,1119316.19
0.70,A4_xconservative,R6_wide,5,90,12.6013,10.9033,0.530965,0.526161,-16.7830,22,2,15,1126012.84
0.70,A2_standard,R3_conservative,3,90,13.0988,11.3304,0.530828,0.533311,-18.8409,23,3,15,1130987.75
0.70,A5_narrow,R3_conservative,3,90,13.0988,11.3304,0.530828,0.533311,-18.8409,23,3,15,1130987.75
0.50,A3_conservative,R5_narrow,7,90,11.8803,10.2838,0.530216,0.509058,-16.0749,15,2,10,1118802.95
0.70,A3_conservative,R2_standard,3,90,12.6053,10.9067,0.530109,0.522616,-17.8472,24,3,16,1126053.01
0.70,A4_xconservative,R2_standard,5,90,12.5879,10.8918,0.529919,0.527297,-17.1648,20,2,14,1125879.15
0.70,A6_wide,R1_aggressive,7,60,13.0280,11.2697,0.529685,0.530700,-18.0713,23,9,12,1130280.13
0.70,A2_standard,R2_standard,3,90,12.9989,11.2447,0.528715,0.520983,-18.8409,24,3,16,1129989.35
0.70,A5_narrow,R2_standard,3,90,12.9989,11.2447,0.528715,0.520983,-18.8409,24,3,16,1129989.35
0.40,A2_standard,R4_xconservative,7,90,12.4948,10.8118,0.528296,0.504855,-17.7765,15,2,9,1124947.88
0.40,A5_narrow,R4_xconservative,7,90,12.4948,10.8118,0.528296,0.504855,-17.7765,15,2,9,1124947.88
0.70,A6_wide,R2_standard,3,90,12.9687,11.2187,0.527507,0.520031,-18.9666,26,5,16,1129686.61
0.70,A6_wide,R3_conservative,3,90,12.9936,11.2402,0.527423,0.526853,-18.9666,25,5,15,1129936.42
0.50,A6_wide,R4_xconservative,3,90,12.6053,10.9067,0.526300,0.516889,-18.1918,21,5,11,1126052.60
0.70,A1_aggressive,R1_aggressive,7,60,12.9217,11.1784,0.526264,0.527230,-18.0713,23,9,12,1129216.65
0.50,A4_xconservative,R4_xconservative,5,90,11.8242,10.2356,0.526123,0.524191,-16.1480,17,2,11,1118242.20
0.70,A1_aggressive,R3_conservative,5,90,12.9006,11.1603,0.524450,0.523871,-18.8394,22,4,14,1129006.17
0.70,A6_wide,R3_conservative,5,90,12.9006,11.1603,0.524450,0.523871,-18.8394,22,4,14,1129006.17
0.70,A4_xconservative,R1_aggressive,5,90,12.3943,10.7255,0.524409,0.515633,-16.7537,21,2,14,1123942.73
0.50,A2_standard,R4_xconservative,5,90,12.5026,10.8185,0.523323,0.520454,-17.8118,17,2,11,1125025.61
0.50,A5_narrow,R4_xconservative,5,90,12.5026,10.8185,0.523323,0.520454,-17.8118,17,2,11,1125025.61
0.70,A1_aggressive,R2_standard,5,90,12.8324,11.1018,0.523252,0.517250,-18.8394,22,4,14,1128324.34
0.70,A6_wide,R2_standard,5,90,12.8324,11.1018,0.523252,0.517250,-18.8394,22,4,14,1128324.34
0.60,A4_xconservative,R4_xconservative,3,90,12.1016,10.4741,0.523027,0.525420,-17.5840,19,3,11,1121016.45
0.70,A2_standard,R6_wide,5,90,12.7661,11.0448,0.522252,0.519535,-17.9569,22,2,15,1127660.55
0.70,A5_narrow,R6_wide,5,90,12.7661,11.0448,0.522252,0.519535,-17.9569,22,2,15,1127660.55
0.70,A4_xconservative,R3_conservative,5,90,12.3889,10.7209,0.521859,0.525394,-17.6578,20,2,14,1123889.17
0.70,A2_standard,R2_standard,5,90,12.7529,11.0335,0.521328,0.520591,-18.3333,20,2,14,1127529.26
0.70,A5_narrow,R2_standard,5,90,12.7529,11.0335,0.521328,0.520591,-18.3333,20,2,14,1127529.26
0.50,A4_xconservative,R5_narrow,7,90,11.6217,10.0615,0.521020,0.499851,-16.0611,16,2,10,1116217.01
0.70,A1_aggressive,R2_standard,3,90,12.7469,11.0283,0.520196,0.512620,-19.1257,26,5,16,1127469.04
0.70,A1_aggressive,R3_conservative,3,90,12.7718,11.0497,0.520136,0.519365,-19.1257,25,5,15,1127718.35
0.60,A6_wide,R1_aggressive,7,60,12.5144,10.8286,0.519396,0.512947,-17.7765,23,9,12,1125143.60
0.50,A1_aggressive,R5_narrow,7,90,12.3111,10.6540,0.518439,0.497631,-17.7765,17,4,11,1123110.60
0.50,A6_wide,R5_narrow,7,90,12.3111,10.6540,0.518439,0.497631,-17.7765,17,4,11,1123110.60
0.40,A3_conservative,R4_xconservative,7,90,11.2742,9.7626,0.517936,0.494406,-15.7326,15,2,9,1112741.50
0.60,A1_aggressive,R1_aggressive,7,60,12.4420,10.7664,0.516982,0.510548,-17.7765,23,9,12,1124419.62
0.60,A3_conservative,R4_xconservative,3,90,11.9324,10.3286,0.516560,0.518944,-17.7229,19,3,11,1119323.65
0.70,A3_conservative,R6_wide,5,90,12.1715,10.5341,0.516336,0.513508,-17.1022,22,2,15,1121715.00
0.70,A4_xconservative,R5_narrow,5,90,12.1700,10.5328,0.516035,0.515600,-17.1648,19,2,13,1121700.21
0.40,A1_aggressive,R4_xconservative,7,90,12.1395,10.5066,0.516029,0.494004,-17.7765,17,4,10,1121394.68
0.40,A6_wide,R4_xconservative,7,90,12.1395,10.5066,0.516029,0.494004,-17.7765,17,4,10,1121394.68
0.70,A2_standard,R1_aggressive,5,90,12.5587,10.8667,0.515963,0.509335,-17.7765,21,2,14,1125587.41
0.70,A5_narrow,R1_aggressive,5,90,12.5587,10.8667,0.515963,0.509335,-17.7765,21,2,14,1125587.41
0.70,A3_conservative,R2_standard,5,90,12.1582,10.5226,0.515320,0.514606,-17.4825,20,2,14,1121581.82
0.60,A2_standard,R4_xconservative,3,90,12.4560,10.7785,0.515064,0.517073,-19.0451,19,3,11,1124559.77
0.60,A5_narrow,R4_xconservative,3,90,12.4560,10.7785,0.515064,0.517073,-19.0451,19,3,11,1124559.77
0.50,A3_conservative,R4_xconservative,5,90,11.5128,9.9679,0.514620,0.511510,-16.3840,17,2,11,1115127.78
0.70,A2_standard,R3_conservative,5,90,12.5533,10.8621,0.513785,0.518905,-18.8194,20,2,14,1125532.85
